GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sudoku-project,com.example.sudoku,GrilleImpl,37,52,8,6,10,14,11,8,6,6
sudoku-project,com.example.sudoku,ValeurDeCaseAsChar,13,12,2,2,3,4,4,1,2,1
